ID,Name,Brand,Actual Price,RAM_GB,Storage_GB,CPU_Tier,GPU_Tier,RAM_Score,Storage_Score,CPU_Score,GPU_Score,Price_Score
167,HP Victus 16-R0042NE Ci7-13700H (16GB-1TB SSD) RTX™ 4060 8GB,Hp,375000,16,1024,Upper-Mid,NA,-0.205421750067035,1.2600039873546187,3,0,-0.18199103918770423
168,Dell 15 DC15250 Ci5-1334U (8GB-512GB SSD),Dell,200000,8,8,Mid,NA,-0.28697659641168494,-1.059766418264087,2,0,0.6633792918859227
171,Lenovo V15 G3 15. 6 Inches 12th Gen Core i3 DOS (4GB - 256GB SSD),Lenovo,149999,4,4,Entry,NA,-0.32775401958400996,-1.0688993726169165,1,0,0.9049185028802794
172,Lenovo ThinkPad E14 G4 14 Inches 12th Gen Core i5 DOS (8GB - 512GB),Lenovo,260000,8,512,Mid,NA,-0.28697659641168494,0.09098583019243638,2,0,0.37353803551782205
173,Lenovo V15 G3 15.6 Inches 12th Gen Core i7 DOS (8GB - 512GB),Lenovo,249999,8,512,Upper-Mid,NA,-0.28697659641168494,0.09098583019243638,3,0,0.4218497422667783
174,Lenovo V15 G3 15.6 Inches 12th Gen Core i5 DOS (4GB - 256GB),Lenovo,199999,4,256,Mid,NA,-0.32775401958400996,-0.4935232483886548,2,0,0.6633841225735289
175,HP ProBook 440 G10 Core i7 (8GB-512GB NVMe SSD),Hp,260000,8,512,Upper-Mid,NA,-0.28697659641168494,0.09098583019243638,3,0,0.37353803551782205
176,Apple Macbook Pro MRX33 M3 Pro 14.2 (18GB-512GB),Apple,600000,18,512,High,NA,-0.1850330384808725,0.09098583019243638,4,0,-1.2688957505680818
179,HP 250 G10 Raptor Lake 13th Gen Core i7 (8GB-512GB),Hp,209999,8,512,Upper-Mid,NA,-0.28697659641168494,0.09098583019243638,3,0,0.6150772465121788
180,HP Pavilion x360 14 EK1056TU  Core i7 (16GB-1TB),Hp,330000,16,1024,Upper-Mid,NA,-0.205421750067035,1.2600039873546187,3,0,0.035389903088371276
183,Lenovo V15 G4 Core i7 13th Gen (8GB-512GB),Lenovo,250000,8,512,Upper-Mid,NA,-0.28697659641168494,0.09098583019243638,3,0,0.4218449115791722
185,HP VICTUS 15-FA2701WM Ci5-13420H (16GB -512GB) RTX-4050-6GB,Hp,300000,16,512,Mid,Mid,-0.205421750067035,0.09098583019243638,2,1,0.1803105312724216
187,HP ProBook 460 G11 Intel Core Ultra 5 125U (8GB-512GB),Hp,280000,8,512,Mid,NA,-0.28697659641168494,0.09098583019243638,2,0,0.2769242833951218
188,HP EliteBook 640 G11 14 Ultra 7 155U (8GB-512GB),Hp,370000,8,512,Upper-Mid,NA,-0.28697659641168494,0.09098583019243638,3,0,-0.1578376011570292
189,HP Elitebook 660 G11 U7 | Intel® Core™ Ultra 7 155U (8GB-512GB),Hp,370000,8,512,Upper-Mid,NA,-0.28697659641168494,0.09098583019243638,3,0,-0.1578376011570292
190,LENOVO LEGION PRO 5 Ci7-14650HX (16GB-1TB) RTX-4060-8GB,Lenovo,495000,16,1024,Upper-Mid,Upper-Mid,-0.205421750067035,1.2600039873546187,3,2,-0.7616735519239056
192,HP 15-FD0229NIA Ci7-1355U (8GB-512GB SSD) 15.6 FHD,Hp,200000,8,8,Upper-Mid,NA,-0.28697659641168494,-1.059766418264087,3,0,0.6633792918859227
194,ASUS EXPERTBOOK B1403CVA Ci7-1355U (16GB -512GB SSD),Asus,230000,16,16,Upper-Mid,NA,-0.205421750067035,-1.0415005095584278,3,0,0.5184586637018724
197,Acer Nitro V15 - Ci5-13420H (16GB-512GB) RTX 4050 6GB,Acer,275000,16,512,Mid,Mid,-0.205421750067035,0.09098583019243638,2,1,0.3010777214257969
199,Acer Nitro V16 14th Gen Core i7 14650HX (16GB-512GB SSD),Acer,415999,16,16,Upper-Mid,NA,-0.205421750067035,-1.0415005095584278,3,0,-0.38004440035163356
200,Dell Latitude 5440 13TH GEN CORE i7 1355U (8GB-512GB SSD),Dell,370000,8,8,Upper-Mid,NA,-0.28697659641168494,-1.059766418264087,3,0,-0.1578376011570292
201,LENOVO THINKPAD E14 G6 14TH Intel Core Ultra 7 155H (16GB-512GB SSD),Lenovo,299999,16,16,Upper-Mid,NA,-0.205421750067035,-1.0415005095584278,3,0,0.18031536196002776
202,LENOVO THINKPAD T14 14TH GEN Intel Core Ultra 7 155U (16GB-512GB SSD),Lenovo,420000,16,16,Upper-Mid,NA,-0.205421750067035,-1.0415005095584278,3,0,-0.3993719814637797
203,LENOVO THINKPAD T14 14TH GEN Intel Core Ultra 7 155U (32GB-512GB SSD),Lenovo,450000,32,32,Upper-Mid,NA,-0.042312057377735045,-1.0049686921471097,3,0,-0.5442926096478301
205,Lenovo loq 15 13th Core i5 13450hx (24GB-512GB) DOS,Lenovo,285000,24,512,Mid,NA,-0.12386690372238501,0.09098583019243638,2,0,0.2527708453644468
207,Dell Latitude 3550 Raptor Lake 13th Gen Core i5 1335U (8GB-512GB SSD),Dell,219999,8,8,Mid,NA,-0.28697659641168494,-1.059766418264087,2,0,0.5667703704508287
209,HP OmniBook Ultra Flip 14-FH0030CA Core Ultra 7 256V (16GB 1TB SSD),Hp,450000,16,1024,Upper-Mid,NA,-0.205421750067035,1.2600039873546187,3,0,-0.5442926096478301
210,Lenovo ThinkPad X1 Carbon G13 Ultra 7 256V (32GB-512GB SSD),Lenovo,726000,32,32,Upper-Mid,NA,-0.042312057377735045,-1.0049686921471097,3,0,-1.8775623889410933
211,HP VICTUS 15-FA2013DX Ci5-13420H (8GB 512GB SSD) RTX 3050 6GB,Hp,249900,512,512,Mid,Mid,4.850978723301264,0.09098583019243638,2,1,0.4223279803397857
212,HP VICTUS 15-FA2701WM Ci5-13420H (16GB-512GB SSD) RTX 4050 6GB,Hp,275999,16,16,Mid,Mid,-0.205421750067035,-1.0415005095584278,2,1,0.29625186450726804
213,ACER PREDATOR HELIOS 16 AI Core Ultra 9 275HX (32GB-1TB SSD) RTX 5070Ti 12GB,Acer,724000,32,1024,High,High,-0.042312057377735045,1.2600039873546187,4,3,-1.8679010137288232
214,ASUS EXPERTBOOK B1403CVA Ci5 1334U (16GB-512GB SSD),Asus,200000,16,16,Mid,NA,-0.205421750067035,-1.0415005095584278,2,0,0.6633792918859227
216,Lenovo ThinkPad E16 G3 Ultra 5 225U (8GB-512GB SSD),Lenovo,300000,8,8,Mid,NA,-0.28697659641168494,-1.059766418264087,2,0,0.1803105312724216
218,Dell Latitude 3550 Ultra 5-125U (8GB-512GB SSD),Dell,250000,8,8,Mid,NA,-0.28697659641168494,-1.059766418264087,2,0,0.4218449115791722
219,Asus VivoBook 16 M1605YA Ryzen 7-7730U (8GB-512GB SSD),Asus,215000,8,8,Mid,NA,-0.28697659641168494,-1.059766418264087,2,0,0.5909189777938976
221,HP OmniBook 5 16-AF1067ST Ultra 7-255U (16GB-1TB SSD),Hp,280000,16,1024,Upper-Mid,NA,-0.205421750067035,1.2600039873546187,3,0,0.2769242833951218
222,HP Victus 15-FA2317TX Ci7-13620H (16GB-512GB SSD) RTX 4050 6GB,Hp,350000,16,16,Upper-Mid,Mid,-0.205421750067035,-1.0415005095584278,3,1,-0.061223849034328946
225,Infinix INBook X2 1065G7 14 Inches Core i7 (8GB RAM - 512GB SSD),Infinix,169999,512,512,Upper-Mid,NA,4.850978723301264,0.09098583019243638,3,0,0.8083047507575792
226,Apple MacBook Pro A2289 13 Inches Core i5 (8GB-512GB),Apple,380000,8,512,Mid,NA,-0.28697659641168494,0.09098583019243638,2,0,-0.20614447721837928
227,HP 15s FQ5098TU 15.6 Inches 12th Gen Core i5 Win 11 (8GB - 512GB),Hp,174999,8,512,Mid,NA,-0.28697659641168494,0.09098583019243638,2,0,0.7841513127269042
228,Dell Inspiron 3520 Core i7 12th Gen (8GB-512GBSSD),Dell,230000,8,8,Upper-Mid,NA,-0.28697659641168494,-1.059766418264087,3,0,0.5184586637018724
229,Apple MacBook Air 15.3 M2 MQKX3 (8GB-512GB),Apple,420000,8,512,Upper-Mid,NA,-0.28697659641168494,0.09098583019243638,3,0,-0.3993719814637797
230,HP 15 FD0336nia 13th Gen Core i3 (4GB-256GB),Hp,125000,4,256,Entry,NA,-0.32775401958400996,-0.4935232483886548,1,0,1.0256808623460485
231,Lenovo IdeaPad 5 Core i7 12th Gen (16GB-512GB),Lenovo,238000,16,512,Upper-Mid,NA,-0.205421750067035,0.09098583019243638,3,0,0.4798131628527923
232,HP VICTUS 16-R0003NIA Ci7-13700H (32GB -1TB SSD) RTX 4060 8GB,Hp,400000,32,1024,Upper-Mid,Upper-Mid,-0.042312057377735045,1.2600039873546187,3,2,-0.30275822934107954
