"ID","Name","Discounted Price","Actual Price","Saving","Rating","Reviews","Brand","Core","SSD","Model","Has_GPU","GPU_Family","GPU_Model","GPU_Tier","CPU_Text","CPU_Brand","CPU_Tier","RAM_GB","Storage_GB"
221,"HP OmniBook 5 16-AF1067ST Ultra 7-255U (16GB-1TB SSD)",239999,280000,"14% OFF",NA,NA,"Hp","Ultra 7",NA,"OmniBook 5 16-AF1067ST Ultra 7-255U",FALSE,NA,NA,NA,"Ultra 7","Intel","Upper-Mid",16,1024
222,"HP Victus 15-FA2317TX Ci7-13620H (16GB-512GB SSD) RTX 4050 6GB",301999,350000,"14% OFF",NA,NA,"Hp",NA,"16GB-512GB SSD","Victus 15-FA2317TX Ci7-13620H  RTX 4050 6GB",TRUE,"RTX",4050,"Mid","HP Victus 15-FA2317TX Ci7-13620H (16GB-512GB SSD) RTX 4050 6GB","Intel","Upper-Mid",16,16
223,"Apple Macbook Air 13 MW0Y3 M4",286999,299999,"4% OFF",NA,NA,"Apple","M4",NA,"Macbook Air 13 MW0Y3 M4",FALSE,NA,NA,NA,"M4","Apple","High",NA,NA
224,"Dell Inspiron 3515 15.6 inches AMD Ryzen 5 3450U (8GB - 256GB)",134499,145000,"7% OFF",NA,NA,"Dell","Ryzen 5",NA,"Inspiron 3515 15.6 inches AMD Ryzen 5 3450U",FALSE,NA,NA,NA,"Ryzen 5","AMD",NA,8,256
225,"Infinix INBook X2 1065G7 14 Inches Core i7 (8GB RAM - 512GB SSD)",119999,169999,"29% OFF",5,4,"Infinix","Core i7","512GB SSD","INBook X2 1065G7 14 Inches Core i7",FALSE,NA,NA,NA,"Core i7","Intel","Upper-Mid",512,512
226,"Apple MacBook Pro A2289 13 Inches Core i5 (8GB-512GB)",242999,380000,"36% OFF",NA,NA,"Apple","Core i5",NA,"MacBook Pro A2289 13 Inches Core i5",FALSE,NA,NA,NA,"Core i5","Intel","Mid",8,512
227,"HP 15s FQ5098TU 15.6 Inches 12th Gen Core i5 Win 11 (8GB - 512GB)",145999,174999,"17% OFF",NA,NA,"Hp","Core i5",NA,"15s FQ5098TU 15.6 Inches 12th Gen Core i5 Win 11",FALSE,NA,NA,NA,"Core i5","Intel","Mid",8,512
228,"Dell Inspiron 3520 Core i7 12th Gen (8GB-512GBSSD)",187499,230000,"18% OFF",NA,NA,"Dell","Core i7","8GB-512GBSSD","Inspiron 3520 Core i7 12th Gen",FALSE,NA,NA,NA,"Core i7","Intel","Upper-Mid",8,8
229,"Apple MacBook Air 15.3 M2 MQKX3 (8GB-512GB)",406999,420000,"3% OFF",NA,NA,"Apple","M2",NA,"MacBook Air 15.3 M2 MQKX3",FALSE,NA,NA,NA,"M2","Apple","Upper-Mid",8,512
230,"HP 15 FD0336nia 13th Gen Core i3 (4GB-256GB)",107999,125000,"14% OFF",NA,NA,"Hp","Core i3",NA,"15 FD0336nia 13th Gen Core i3",FALSE,NA,NA,NA,"Core i3","Intel","Entry",4,256
231,"Lenovo IdeaPad 5 Core i7 12th Gen (16GB-512GB)",205999,238000,"13% OFF",NA,NA,"Lenovo","Core i7",NA,"IdeaPad 5 Core i7 12th Gen",FALSE,NA,NA,NA,"Core i7","Intel","Upper-Mid",16,512
232,"HP VICTUS 16-R0003NIA Ci7-13700H (32GB -1TB SSD) RTX 4060 8GB",349999,4e+05,"13% OFF",NA,NA,"Hp",NA,NA,"VICTUS 16-R0003NIA Ci7-13700H  RTX 4060 8GB",TRUE,"RTX",4060,"Upper-Mid","HP VICTUS 16-R0003NIA Ci7-13700H (32GB -1TB SSD) RTX 4060 8GB","Intel","Upper-Mid",32,1024
233,"ASUS ExpertBook B1 502CB 12th Ci5 235U",147999,170000,"13% OFF",NA,NA,"Asus",NA,NA,"ExpertBook B1 502CB 12th Ci5 235U",FALSE,NA,NA,NA,"ASUS ExpertBook B1 502CB 12th Ci5 235U","Intel","Mid",NA,NA
234,"Apple MacBook Air 15 Inches With M3 Chip (MRYV3)",399999,449999,"11% OFF",NA,NA,"Apple","M3",NA,"MacBook Air 15 Inches With M3 Chip",FALSE,NA,NA,NA,"M3","Apple","High",NA,NA
235,"Dell Vostro 3530 Ci3-1305U (8GB-512GB SSD)",111999,143000,"22% OFF",NA,NA,"Dell",NA,"8GB-512GB SSD","Vostro 3530 Ci3-1305U",FALSE,NA,NA,NA,"Dell Vostro 3530 Ci3-1305U (8GB-512GB SSD)","Intel","Entry",8,8
236,"Apple Macbook Air 15 MC7C4 M4 Chip",489999,499999,"2% OFF",NA,NA,"Apple","M4",NA,"Macbook Air 15 MC7C4 M4 Chip",FALSE,NA,NA,NA,"M4","Apple","High",NA,NA
237,"Acer Nitro V15 13th Gen Core i7-13620H (16GB-512GB SSD) RTX 4060 8GB Graphics",295999,305000,"3% OFF",NA,NA,"Acer","Core i7","16GB-512GB SSD","Nitro V15 13th Gen Core i7-13620H  RTX 4060 8GB Graphics",TRUE,"RTX",4060,"Upper-Mid","Core i7","Intel","Upper-Mid",16,16
238,"Acer Nitro V16 AMD RYZEN 7 8845HS (16GB-512GB SSD)",300999,330000,"9% OFF",NA,NA,"Acer",NA,"16GB-512GB SSD","Nitro V16 AMD RYZEN 7 8845HS",FALSE,NA,NA,NA,"Acer Nitro V16 AMD RYZEN 7 8845HS (16GB-512GB SSD)","AMD",NA,16,16
239,"HP OmniBook 5 16-AF1095CL Core Ultra 9 285H (32GB 1TB)",346999,370000,"6% OFF",NA,NA,"Hp","Ultra 9",NA,"OmniBook 5 16-AF1095CL Core Ultra 9 285H",FALSE,NA,NA,NA,"Ultra 9","Intel","High",32,1024
240,"HP EliteBook 840 G11 Ultra 7-155U vPro (16GB-512GB SSD)",344999,380000,"9% OFF",NA,NA,"Hp","Ultra 7","16GB-512GB SSD","EliteBook 840 G11 Ultra 7-155U vPro",FALSE,NA,NA,NA,"Ultra 7","Intel","Upper-Mid",16,16
241,"Dell 15 DC15250 Core 3-100U (8GB-512GB SSD)",147999,165000,"10% OFF",NA,NA,"Dell",NA,"8GB-512GB SSD","15 DC15250 Core 3-100U",FALSE,NA,NA,NA,"Dell 15 DC15250 Core 3-100U (8GB-512GB SSD)","Intel",NA,8,8
242,"HP Pavilion 15 EH2033au 15.6 Inches AMD Ryzen 7 5825U Win 11 (16GB - 1TB)",200999,249999,"20% OFF",NA,NA,"Hp","Ryzen 7",NA,"Pavilion 15 EH2033au 15.6 Inches AMD Ryzen 7 5825U Win 11",FALSE,NA,NA,NA,"Ryzen 7","AMD",NA,16,1024
243,"HP Pavilion 15 EH2032au 15.6 Inches AMD Ryzen 5 5625U Win 11 (16GB - 512GB)",156999,199999,"22% OFF",NA,NA,"Hp","Ryzen 5",NA,"Pavilion 15 EH2032au 15.6 Inches AMD Ryzen 5 5625U Win 11",FALSE,NA,NA,NA,"Ryzen 5","AMD",NA,16,512
244,"HP 15s FD0107TU 15.6 Inches 13th Gen Core i5 1335u Win 11 (8GB - 512GB)",159999,219999,"27% OFF",3,1,"Hp","Core i5",NA,"15s FD0107TU 15.6 Inches 13th Gen Core i5 1335u Win 11",FALSE,NA,NA,NA,"Core i5","Intel","Mid",8,512
245,"HP 15-DY5131WM Laptop 12thGen Core i3 (8GB RAM, 256GB SSD)",109999,135000,"19% OFF",4,1,"Hp","Core i3","256GB SSD","15-DY5131WM Laptop 12thGen Core i3",FALSE,NA,NA,NA,"Core i3","Intel","Entry",256,256
246,"HP Envy 14-ES0013DX 13th Gen Core i5-1335U (8GB DDR4-512GB SSD)",169999,220000,"23% OFF",NA,NA,"Hp","Core i5","512GB SSD","Envy 14-ES0013DX 13th Gen Core i5-1335U",FALSE,NA,NA,NA,"Core i5","Intel","Mid",512,512
247,"Dell Vostro 3520 12th Gen Core i3 15.6 inches (8GB-512GB)",100999,125000,"19% OFF",NA,NA,"Dell","Core i3",NA,"Vostro 3520 12th Gen Core i3 15.6 inches",FALSE,NA,NA,NA,"Core i3","Intel","Entry",8,512
248,"HP 15 FD0240TU 13th Gen Core i5 1334u (8GB-512GB)",150999,185000,"18% OFF",NA,NA,"Hp","Core i5",NA,"15 FD0240TU 13th Gen Core i5 1334u",FALSE,NA,NA,NA,"Core i5","Intel","Mid",8,512
249,"HP Envy 16 AC0013DX Ultra 5 125U",210999,250000,"16% OFF",NA,NA,"Hp","Ultra 5",NA,"Envy 16 AC0013DX Ultra 5 125U",FALSE,NA,NA,NA,"Ultra 5","Intel","Mid",NA,NA
250,"ASUS ZenBook 14 Q415MA Core Ultra 5 125H",191999,250000,"23% OFF",NA,NA,"Asus","Ultra 5",NA,"ZenBook 14 Q415MA Core Ultra 5 125H",FALSE,NA,NA,NA,"Ultra 5","Intel","Mid",NA,NA
251,"Dell Inspiron 16 5640 Core i5-1334U (16GB-512GB SSD)",197999,209999,"6% OFF",NA,NA,"Dell","Core i5","16GB-512GB SSD","Inspiron 16 5640 Core i5-1334U",FALSE,NA,NA,NA,"Core i5","Intel","Mid",16,16
252,"LENOVO LOQ 15 Ci5 12450HX",241999,279999,"14% OFF",NA,NA,"Lenovo",NA,NA,"LOQ 15 Ci5 12450HX",FALSE,NA,NA,NA,"LENOVO LOQ 15 Ci5 12450HX","Intel","Mid",NA,NA
253,"Infinix INBook X2 1035G1 14 Inches Core i5 (8GB RAM - 512GB SSD)",110999,159999,"31% OFF",5,2,"Infinix","Core i5","512GB SSD","INBook X2 1035G1 14 Inches Core i5",FALSE,NA,NA,NA,"Core i5","Intel","Mid",512,512
254,"HP 15s FQ5096TU 15.6 Inches 12th Gen Core i3 Win 11 (4GB - 256GB)",128999,152000,"15% OFF",NA,NA,"Hp","Core i3",NA,"15s FQ5096TU 15.6 Inches 12th Gen Core i3 Win 11",FALSE,NA,NA,NA,"Core i3","Intel","Entry",4,256
255,"HP 15S-FQ5317TU Laptop 12th Gen Core i5 (8GB-512GB)",150999,180000,"16% OFF",5,1,"Hp","Core i5",NA,"15S-FQ5317TU Laptop 12th Gen Core i5",FALSE,NA,NA,NA,"Core i5","Intel","Mid",8,512
256,"HP 15S-FQ5299NIA Laptop 12th Gen Core i7 (8GB-512GB SSD)",177999,220000,"19% OFF",NA,NA,"Hp","Core i7","8GB-512GB SSD","15S-FQ5299NIA Laptop 12th Gen Core i7",FALSE,NA,NA,NA,"Core i7","Intel","Upper-Mid",8,8
257,"HP 15s EQ2174AU AMD Ryzen 5 5500U (8GB 512GB)",115999,126000,"8% OFF",5,1,"Hp","Ryzen 5",NA,"15s EQ2174AU AMD Ryzen 5 5500U",FALSE,NA,NA,NA,"Ryzen 5","AMD",NA,8,512
258,"Dell Vostro 3520 12th Gen Core i5 15.6 inches (8GB-512GB)",129599,150000,"14% OFF",NA,NA,"Dell","Core i5",NA,"Vostro 3520 12th Gen Core i5 15.6 inches",FALSE,NA,NA,NA,"Core i5","Intel","Mid",8,512
259,"HP Victus 15-FA0212TX Gaming Laptop 12th Gen Core i7-12650H (16GB-512GB)",285999,320000,"11% OFF",NA,NA,"Hp","Core i7",NA,"Victus 15-FA0212TX Gaming Laptop 12th Gen Core i7-12650H",FALSE,NA,NA,NA,"Core i7","Intel","Upper-Mid",16,512
